Climatico,ML,Precicion,MAPE,RMSE,t/h,kg/h,R2
PCA,XGB-,0.93020000000000,0.06980000000000,53.77950000000000,0.53779500000000,537.79500000000000,0.69970000000000
'TGW-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',XGB,0.92968924528316,0.07031075471684,54.34002243626090,0.54340022436261,543.40022436260900,0.69343362404995
'TGW-BM-CT_UAV_3-CT_UAV_4-YLD',XGB,0.92932626361616,0.07067373638384,52.80989974076290,0.52809899740763,528.09899740762900,0.71045532710482
'BM-CT_UAV_1-CT_UAV_2-YLD',XGB,0.92856710516862,0.07143289483138,56.41113941818520,0.56411139418185,564.11139418185200,0.66961932441232
'BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-CT_UAV_4-YLD',XGB,0.92844434974795,0.07155565025205,55.76591258260330,0.55765912582603,557.65912582603300,0.67713384601946
'BM-CT_UAV_1-CT_UAV_3-YLD',XGB,0.92832020075996,0.07167979924004,54.45307944123470,0.54453079441235,544.53079441234700,0.69215664512794
'BM-CT_UAV_3-YLD',XGB,0.92782320282212,0.07217679717788,57.78107355634480,0.57781073556345,577.81073556344800,0.65337801385525
'TGW-BM-CT_UAV_1-CT_UAV_2-YLD',XGB,0.92776250646546,0.07223749353454,54.98026102710620,0.54980261027106,549.80261027106300,0.68616708703279
'TGW-BM-CT_UAV_1-CT_UAV_3-CT_UAV_4-YLD',XGB,0.92752522378935,0.07247477621065,53.85091149009430,0.53850911490094,538.50911490094300,0.69892755434789
'BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-YLD',XGB,0.92725811955809,0.07274188044191,54.86417280681890,0.54864172806819,548.64172806818800,0.68749097459209
'TGW-BM-CT_UAV_1-CT_UAV_2-CT_UAV_4-YLD',XGB,0.92699831328616,0.07300168671384,56.06177921540340,0.56061779215403,560.61779215403400,0.67369881832297
'TGW-BM-CT_UAV_3-YLD',XGB,0.92654897918012,0.07345102081988,54.27141776904920,0.54271417769049,542.71417769049200,0.69420721989353
'TGW-BM-CT_UAV_2-CT_UAV_4-YLD',XGB,0.92652655444959,0.07347344555041,55.07002018420540,0.55070020184205,550.70020184205400,0.68514154181128
'TGW-BM-CT_UAV_1-CT_UAV_4-YLD',XGB,0.92634047764569,0.07365952235431,55.76304342983740,0.55763043429837,557.63043429837400,0.67716706805225
'TGW-BM-CT_UAV_3-YLD',SVR,0.92590766409435,0.07409233590565,57.04707278796180,0.57047072787962,570.47072787961800,0.66212845124655
'TGW-BM-CT_UAV_1-CT_UAV_3-YLD',SVR,0.92571467929820,0.07428532070180,57.25990392493520,0.57259903924935,572.59903924935200,0.65960268708580
'TGW-BM-CT_UAV_2-CT_UAV_3-YLD',XGB,0.92541582144449,0.07458417855551,54.62793634371620,0.54627936343716,546.27936343716200,0.69017640960278
'TGW-BM-CT_UAV_1-CT_UAV_2-CT_UAV_3-YLD',SVR,0.92539248763155,0.07460751236845,57.37578115545550,0.57375781155456,573.75781155455500,0.65822356462738
'BM-CT_UAV_3-CT_UAV_4-YLD',XGB,0.92538877456505,0.07461122543495,58.34510911580850,0.58345109115809,583.45109115808500,0.64657781632755
'BM-CT_UAV_1-CT_UAV_2-CT_UAV_4-YLD',XGB,0.92522803667185,0.07477196332815,61.20374766931050,0.61203747669311,612.03747669310500,0.61109732974481
'TGW-BM-CT_UAV_2-CT_UAV_3-YLD',SVR,0.92522126167863,0.07477873832137,57.50711900355080,0.57507119003551,575.07119003550800,0.65665706541803
'TGW-BM-CT_UAV_2-YLD',SVR,0.92499656148072,0.07500343851928,57.70202641668760,0.57702026416688,577.02026416687600,0.65432575445597
'TGW-BM-CT_UAV_1-CT_UAV_2-YLD',SVR,0.92494318594297,0.07505681405704,57.74044718980690,0.57740447189807,577.40447189806900,0.65386526825910
