TGW,HI,BM,CT_UAV_1,CT_UAV_2,CT_UAV_3,CT_UAV_4,YLD
37.176735,0.437402,1208.009071,25.608493,24.014504,24.505965,33.308771,527.2887
44.223763,0.443321,1289.963974,25.532789,23.931237,24.013455,31.666891,571.4099
42.141295,0.468717,1082.605309,25.614821,24.089132,25.332023,33.292354,505.5604
47.04385,0.490776,1338.134909,25.773399,23.79464,24.965328,33.194606,662.3418
31.08089,0.32401,1118.19143,25.550062,23.488141,23.115307,30.46448,359.8664
45.71885,0.510776,1296.069909,26.188399,23.66964,24.170328,32.419606,663.6568
36.197029,0.178166,298.25209,25.765084,23.280872,22.492383,30.305296,45.7955
34.939822,0.480596,971.623721,25.809934,24.470923,24.724123,32.100361,466.8301
33.09385,0.471276,1225.899909,25.788399,23.55464,23.465328,31.879606,580.3668
33.05175,0.494393,1144.299117,25.893851,24.341071,24.549127,33.253681,565.9559
34.922428,0.484578,1276.545261,25.608544,24.178141,23.453544,31.504567,618.5932
40.189212,0.485063,1630.776873,25.380136,23.516102,22.846195,30.345015,792.1191
41.351959,0.472912,1623.525452,25.70806,24.209729,23.590049,31.87224,765.6685
37.675139,0.470522,1140.096067,25.14741,23.535684,24.019785,32.130315,531.7228
42.825758,0.472112,1288.013309,25.981813,24.252367,24.231414,31.903058,607.8472
35.418022,0.457194,1197.825264,26.06185,24.2448,24.130855,31.904188,547.5715
36.868746,0.495479,1234.229337,25.55096,23.839995,23.572693,30.915733,611.2202
35.189643,0.486398,1281.575758,25.855548,24.37222,24.31869,31.811315,623.6013
39.392794,0.502264,1384.23807,25.579624,24.101459,23.64772,31.697513,696.6295
44.875013,0.499172,1288.461738,25.340898,23.973911,23.93747,32.366624,641.2868
40.051735,0.500902,1441.929071,25.718493,24.339504,25.115965,32.498771,724.2887
36.351959,0.477912,1084.625452,25.87806,24.264729,24.150049,31.60724,519.5935
38.358996,0.480323,1573.217015,25.674102,23.634574,22.715447,30.020589,755.4691
44.499639,0.518446,1432.245488,25.425936,23.993264,24.042341,31.697827,740.1057
44.604441,0.473514,1381.95877,25.498065,23.913341,24.784513,32.925678,653.2515
40.526596,0.439703,1226.628326,25.530276,23.766371,23.532758,30.412378,538.5769
35.375761,0.437628,1004.712886,25.569272,24.225616,23.681212,30.500466,438.9351
37.39825,0.447607,1075.830883,25.826149,24.113929,23.790873,31.216319,481.9391
47.34722,0.489694,996.054856,25.71432,24.232926,24.770703,32.122826,485.1626
36.813571,0.476763,1372.14185,25.953515,24.051962,23.677891,31.200771,652.3607
42.959787,0.471639,1051.508267,25.785429,23.969418,23.638521,31.060821,496.9743
34.295212,0.418089,1063.396542,25.68678,23.279275,22.575784,30.569452,446.7969
36.120471,0.348673,1021.34644,25.514793,23.724535,23.352344,30.914563,358.4629
35.802919,0.47657,1324.054157,25.327933,24.073046,23.983409,32.124639,632.1984
44.078505,0.492846,1320.499769,25.348506,23.953419,23.049098,30.815763,649.7006
41.587912,0.497988,1352.498258,25.729447,24.292817,23.996678,30.778292,673.3997
43.655264,0.485644,1399.270731,25.618411,23.909923,23.446192,31.613653,680.2429
37.922722,0.42127,1560.851036,25.676411,23.922427,23.97819,31.783161,653.8277
45.452933,0.449404,1148.37268,25.557046,24.250567,23.47124,30.455307,515.9695
35.934777,0.353642,1109.123824,25.600338,23.659886,23.030725,30.309347,392.441
48.890496,0.449593,1499.858063,25.476875,23.72973,23.762742,31.874452,674.1383
45.871412,0.483359,1321.108133,25.548347,23.857605,23.153151,30.351499,636.9588
42.662016,0.438118,1575.615098,25.436252,24.408914,23.985462,31.742511,691.5849
46.637963,0.474559,1451.65837,25.62055,23.93981,22.869552,30.260754,691.1499
33.713575,0.382554,858.212556,25.623252,23.632606,23.989479,32.285779,327.2487
36.723384,0.479795,1306.546815,25.79127,24.192397,23.585552,30.548107,625.5538
44.426165,0.502807,1315.326323,25.851451,24.449576,24.316923,31.782619,659.3416
45.810559,0.491358,1332.636057,25.57768,23.63929,23.052748,30.290232,655.0513
48.87675,0.496893,1310.294117,25.708851,24.381071,24.424127,31.623681,652.4209
47.627719,0.480625,1076.281849,25.569898,24.114123,24.662797,32.968802,517.5783
41.78085,0.43145,1573.636209,25.465996,23.596795,22.679019,30.387291,680.127
45.596912,0.452238,1475.472927,25.196893,23.49882,22.972579,30.149611,667.3742
41.290238,0.490662,1329.779232,25.535806,24.309802,23.862122,31.874235,646.9308
34.134188,0.49305,1291.374831,25.848768,24.402833,24.367607,32.222523,634.6407
43.617735,0.484649,1188.776196,25.566282,24.217493,23.860777,31.752605,575.0927
37.321155,0.485071,1367.851153,25.750645,23.978129,24.266804,31.477403,662.8941
32.195349,0.428671,1339.649128,25.492765,24.039556,23.403698,31.442044,574.4993
34.52675,0.489393,1057.389117,25.558851,24.781071,25.209127,33.343681,517.9559
46.523041,0.535588,1332.319549,25.55694,23.955271,24.019951,32.42276,715.1365
36.561546,0.420138,720.845038,25.735876,23.648929,24.175101,31.899819,302.4303
31.470471,0.355673,1757.21144,25.299793,23.259535,22.787344,30.509563,625.0229
36.087842,0.486595,1213.336457,25.524853,23.929947,23.050466,30.919569,591.1686
48.735309,0.563911,1067.567133,25.50692,24.386075,24.657868,32.791962,603.074
40.512217,0.498775,1248.613089,25.720426,24.266412,24.341858,32.07959,620.5822
43.102933,0.446904,1384.96268,25.577046,24.215567,23.77624,31.630307,617.3745
42.567295,0.487629,1449.555182,25.761232,24.103582,23.748716,30.711505,706.1949
34.396846,0.487234,1095.417954,25.670615,24.213376,24.20174,31.827923,535.2902
39.99119,0.484107,1649.283391,25.583977,23.41933,22.802483,30.084507,796.6863
35.496361,0.486459,1319.380121,25.583044,23.913911,23.407569,31.475032,641.6832
43.214818,0.470501,1170.897451,25.620598,23.742851,23.342205,30.970244,550.9732
40.606419,0.463285,1449.812422,25.704894,23.932908,23.671253,31.409886,671.8196
42.16952,0.482912,1209.147851,25.590106,24.008318,24.377881,31.81933,582.3951
42.121209,0.478519,1365.499831,25.635487,23.801034,22.995277,30.032834,653.1662
36.547219,0.477694,1652.144856,25.66932,24.062926,23.285703,30.752826,790.0426
49.007343,0.466551,1302.786864,25.679191,24.353508,24.056039,31.511176,607.2419
44.857556,0.475755,1214.209776,25.589385,24.394971,24.072611,31.076284,576.6
39.010302,0.446191,1545.330143,25.21353,23.548684,22.867376,30.650355,689.9658
38.319184,0.455783,1408.847312,25.621279,23.844283,23.593305,31.016876,642.4901
45.490936,0.506561,1381.249624,25.46626,24.342936,23.715701,30.9306,698.1886
49.256449,0.466542,1383.754071,25.546749,24.017472,23.364394,30.911838,643.8478
38.536275,0.459087,1310.702925,25.614178,24.321828,24.38894,32.083513,603.1103
50.908861,0.490758,1269.224388,25.603242,24.535576,24.454108,31.178939,622.6696
39.487523,0.471495,1246.817192,25.784277,24.739765,25.11401,32.430512,590.1555
36.420212,0.463089,1231.161542,25.23178,23.564275,24.230784,32.304452,571.4719
43.501735,0.506402,891.244071,25.658493,24.514504,25.805965,34.268771,453.9437
41.746919,0.474055,1513.495197,25.960524,24.307967,24.281958,31.698878,717.2384
43.402933,0.462404,1143.01268,25.817046,24.400567,24.09624,32.050307,527.8645
39.189692,0.486625,1189.721966,25.717947,23.882785,23.66452,31.865949,576.4373
34.934898,0.437098,983.968104,25.291331,23.990915,23.42528,30.588275,426.0903
46.017837,0.471517,1034.862851,25.619678,24.465923,24.480985,32.468954,484.4806
43.458523,0.489184,1206.98245,25.326457,23.679436,24.170474,33.141899,589.7932
40.786546,0.408138,1025.200038,25.665876,23.658929,22.760101,29.944819,418.0653
34.679059,0.396211,963.845505,25.362441,23.373505,23.648438,31.789103,380.0498
35.157927,0.425151,944.469639,25.723057,23.972201,23.372848,31.011363,400.8056
31.154788,0.487411,1170.893458,25.47322,23.820725,23.389216,31.045548,570.4181
35.085309,0.491411,1313.892133,25.86192,23.841075,23.852868,32.426962,646.894
50.843022,0.490194,1235.120264,26.07685,24.1598,24.455855,32.174188,604.6565
46.265536,0.470454,1081.563789,25.727616,24.57602,24.780325,32.246181,508.4414
44.367626,0.488728,1407.737816,25.732918,24.005473,23.277938,31.351984,688.9122
40.387677,0.465523,1491.303584,25.661987,24.0551,23.78394,30.880814,692.6625
35.654398,0.362101,1309.672054,25.536268,23.960382,23.640042,31.508063,475.1567
41.764736,0.479111,1488.65601,25.741683,23.635409,23.234094,30.413918,713.5909
46.343477,0.435098,1508.13563,25.686939,24.139081,23.749625,31.78205,655.5498
44.335302,0.463191,1403.000143,25.47353,23.838684,23.327376,30.575355,649.9958
43.048559,0.455197,1504.672297,25.849933,24.304276,24.241009,31.466085,685.0854
44.612205,0.487303,1315.616576,25.640107,24.287615,23.657998,30.763466,641.9144
45.491043,0.478831,1236.455883,25.855641,24.156871,24.133872,31.474182,591.432
45.602933,0.438904,1260.09768,25.527046,24.295567,24.33124,32.730307,552.7295
46.166589,0.468668,1371.459925,25.456157,23.768043,24.184153,32.882288,640.8189
49.090936,0.501561,1317.219624,25.71626,24.057936,23.410701,31.3756,659.5436
35.185559,0.398358,1152.991057,25.59268,23.51929,23.327748,30.620232,459.2263
50.733353,0.464393,1372.399125,25.529262,23.847332,23.709187,32.120813,628.3985
40.973041,0.487588,1283.764549,25.70694,24.055271,23.714951,31.33276,625.1515
44.362909,0.504435,1476.926324,25.254384,24.026034,23.183029,31.563003,742.6151
40.941484,0.492395,1064.367061,25.856914,24.431916,24.269415,32.284424,519.0764
39.815776,0.501162,1303.388949,25.34806,23.969219,23.389358,30.637648,653.348
45.018639,0.471375,1342.050515,25.647171,23.939898,23.945476,30.794186,629.8463
36.906118,0.491139,1293.683896,25.825224,23.768127,23.521111,31.213127,635.2804
38.913401,0.454983,1335.399071,25.404764,23.836108,23.624968,30.881066,607.9181
34.960809,0.466179,1248.77831,25.782704,24.365689,24.818326,32.701969,581.25
41.133861,0.484258,1264.214388,25.488242,24.675576,25.044108,33.393939,612.5346
36.088856,0.48446,1305.396983,25.616574,23.933817,23.409606,31.427481,633.8883
33.145212,0.471089,1323.941542,24.94678,23.534275,23.440784,31.889452,624.4419
43.24825,0.529107,1209.695883,25.851149,24.328929,23.800873,31.821319,641.8241
43.495021,0.52084,1175.26389,25.221691,23.844781,23.827565,32.567137,612.3533
37.60589,0.44751,1506.48143,25.260062,23.708141,23.040307,30.22448,672.9264
36.229788,0.469411,1483.783458,25.40322,23.730725,22.969216,30.540548,695.4481
33.866295,0.446217,1364.145309,25.299821,23.664132,24.172023,31.972354,607.1254
28.979788,0.456911,1224.723458,25.41822,23.985725,24.524216,32.410548,558.1981
37.784685,0.457771,1394.901613,25.432033,24.230988,23.553313,31.284471,639.7314
35.707941,0.506835,1126.894294,25.822788,24.057417,24.658301,31.771306,569.6614
39.516476,0.474227,1203.995492,25.609124,23.538447,23.663688,31.737545,570.769
37.460559,0.461358,1361.706057,25.43768,23.77429,22.922748,30.620232,629.8763
39.695752,0.480759,1291.567687,25.657624,24.296398,23.877262,31.159427,620.1645
41.168601,0.468462,1472.640713,25.697704,23.836988,23.46691,31.376913,688.8349
40.271174,0.457852,1470.367471,25.574573,24.109233,23.656782,31.723461,672.3316
40.703505,0.471563,1346.385624,25.343873,23.867526,24.091881,31.707637,634.3363
39.669062,0.453869,1361.775012,25.561501,24.198968,24.21855,31.607728,617.9354
37.52056,0.451489,1620.820319,25.349326,23.948997,23.441463,31.421433,730.7663
46.299912,0.46632,1582.043086,25.632696,24.218283,23.447579,31.315615,735.4046
49.694043,0.460538,1613.907435,25.534637,23.780418,23.677066,30.648875,743.3739
39.388377,0.429937,1309.030964,25.563498,23.768565,23.46697,31.030196,562.0769
41.525221,0.482509,1233.143632,25.530367,24.125438,24.69071,32.279739,596.5685
35.338147,0.466777,1053.556148,25.499014,24.05418,24.27784,31.67022,491.9464
45.191787,0.456208,1184.692924,25.711984,24.521597,23.511687,30.704362,539.5276
44.487842,0.481595,1095.471457,25.684853,24.269947,23.555466,30.624569,526.2036
44.581276,0.465932,1375.901724,25.47369,23.804277,23.395064,30.89664,641.4918
42.225414,0.485893,1489.650631,25.732287,23.977748,23.523912,30.90819,725.1184
38.389367,0.455689,1429.816097,25.799872,23.78096,23.218656,31.103738,651.567
49.023316,0.470457,1308.475674,25.70041,24.176475,24.837463,32.157675,615.1817
47.748371,0.444905,1431.999352,25.570252,24.07438,23.955935,31.568106,636.6538
45.896742,0.479636,1397.528606,25.464162,24.103711,23.617244,31.325067,672.0469
42.525851,0.500781,1286.486575,25.710615,24.039713,24.677183,32.644957,643.8059
